id_order;country;state;city;weight;order_status
536;Francia;Savoie;"Aix les bains";0.570000;Entregado
537;España;Barcelona;Centelles;0.600000;Entregado
538;España;Madrid;Madrid;32.450000;Entregado
539;España;Barcelona;"L'Hospitalet de Llobregat";57.500000;Entregado
540;Francia;París;PARIS;0.760000;Entregado
541;España;Madrid;Madrid;46.200000;Entregado
542;Francia;Ille-et-Vilaine;RENNES;83.000000;Entregado
545;Francia;Seine-Saint-Denis;MONTREUIL;388.500000;Entregado
546;"Países Bajos";Noord-Holland;Amsterdam;37.820000;Entregado
547;Francia;Nord;"Erquinghem lys";328.100000;Entregado
548;España;Barcelona;Castelldefels;4.310000;Entregado
549;España;Madrid;MADRID;438.300000;Entregado
550;España;Barcelona;Barcelona;118.460000;Entregado
551;Francia;París;Vélizy-Villacoublay;265.600000;Entregado
552;Francia;Hérault;"LA GRANDE MOTTE";25.800000;Entregado
553;España;Barcelona;Seva;240.300000;Entregado
555;España;Castelló;Onda;0.050000;Prueba
556;España;Madrid;"Las Rozas de Madrid";58.410000;Entregado
557;España;Barcelona;Masquefa;8.630000;Entregado
558;España;Castelló;Onda;3.600000;Prueba
560;España;Barcelona;Barcelona;503.200000;Entregado
561;Francia;"Seine, Hauts-de-";"Colombes ";211.600000;Entregado
562;España;Castelló;Onda;5.000000;"Recogido por cliente en almacén"
563;Francia;París;paris;4.760000;Entregado
564;Francia;Pyrénées-Orientales;Perpignan;0.450000;Entregado
566;Francia;Oise;CHEVRIERES;146.100000;Entregado
567;España;Madrid;"Tres Cantos";9.110000;Entregado
569;Francia;"Seine, Hauts-de-";"Colombes ";165.700000;Entregado
571;Francia;Orne;"Bellou Le Trichard";236.980000;Entregado
572;España;Cádiz;"Sanlucar de barrameda";1069.010000;Entregado
573;Francia;Nord;CAMBRAI;1.180000;Entregado
574;España;Madrid;Madrid;153.280000;Entregado
575;Francia;Ariège;pamiers;4.390000;Entregado
576;Francia;Gers;Gazaupouy;263.440000;Entregado
577;Francia;Yvelines;"Mantes la jolie";155.600000;Entregado
578;Francia;Lot;Figeac;46.000000;Entregado
579;Francia;Pyrénées-Orientales;Err;4.660000;Entregado
580;Francia;Lot-et-Garonne;Villereal;0.900000;Entregado
581;Francia;Nord;Lille;1.500000;"Recogido por cliente en almacén"
582;España;Madrid;"Collado Mediano";1.780000;Entregado
583;España;Sevilla;sevilla;8.440000;"Recogido por cliente en almacén"
584;España;Sevilla;sevilla;9.940000;"Recogido por cliente en almacén"
585;España;Zaragoza;"Villanueva de Gállego";569.400000;Entregado
586;España;Alacant;Jávea;114.000000;Entregado
587;España;Barcelona;Barcelona;483.400000;Entregado
588;España;Barcelona;"Sant Boi de Llobregat";10.000000;Entregado
589;España;Zaragoza;Zaragoza;161.500000;Entregado
590;España;Cuenca;Chillarón;2546.400000;Entregado
591;Francia;Yvelines;Prunay-en-Yvelines;124.500000;Entregado
593;España;València;VALENCIA;142.500000;"Recogido por cliente en almacén"
594;España;València;Valencia;73.800000;Entregado
595;Francia;París;Paris;40.800000;Entregado
596;España;Madrid;Madrid;38.940000;Entregado
598;Francia;Bouches-du-Rhône;CHATEAURENARD;40.200000;Entregado
599;España;Castelló;Villarreal;132.300000;"Recogido por cliente en almacén"
600;España;Zaragoza;ZARAGOZA;1.000000;Prueba
601;España;Zaragoza;ZARAGOZA;1.000000;Prueba
602;España;Zaragoza;ZARAGOZA;1.000000;Prueba
603;España;Burgos;prueba;93.600000;Prueba
605;España;València;"Faro de Cullera";4.700000;Entregado
606;España;"Palma de Mallorca";"Palma de Mallorca";1.820000;Entregado
607;Francia;París;Paris;710.000000;Entregado
608;Francia;Manche;"SAINT AMAND VILLAGES";136.000000;Entregado
609;España;Castelló;Castellón;0.500000;Prueba
610;España;Zaragoza;ZARAGOZA;1.000000;Prueba
611;España;Madrid;Madrid;4.460000;"Recogido por cliente en almacén"
612;Francia;Morbihan;QUESTEMBERT;0.900000;Entregado
613;Francia;París;PARIS;272.000000;Entregado
614;Francia;Seine-Saint-Denis;Romainville;408.000000;Entregado
615;Francia;Nord;CAMBRAI;333.500000;Entregado
